wave length,direct light
630.32,52115.6
630.78,51899.2
631.25,51717.2
631.71,51882.8
632.18,51809.6
632.64,51593.4
633.1,51719.2
633.57,51351.4
634.03,51650.2
634.5,51760
634.96,52109.6
635.42,51863.4
635.89,51363.4
636.35,51306.6
636.81,51244
637.27,51280.8
637.74,51078.8
638.2,51353.6
638.66,50958.8
639.12,51210.6
639.58,51106.2
640.04,51101
640.5,51306
640.97,51084
641.43,51473.4
641.89,51485
642.35,51048.6
642.81,50665.2
643.27,51264.4
643.72,51284
644.18,51068.6
644.64,51114.2
645.1,51394.4
645.56,50893
646.02,51108.8
646.48,50863
646.93,50991.4
647.39,51402.4
647.85,51329.4
648.31,50999.2
648.76,51221.2
649.22,51534.4
649.68,51604
650.13,51763.6
650.59,51972.4
651.05,51949.6
651.5,52246.8
651.96,52402.2
652.41,52458.8
652.87,51878.8
653.32,52019
653.78,51849.4
654.23,51619.8
654.69,52171.4
655.14,52159.2
655.6,52299.2
656.05,52302.6
656.5,52303.2
656.96,52141.2
657.41,51924.4
657.86,52237
658.32,52567.4
658.77,52730.4
659.22,52709.6
659.67,53077.8
660.12,53108.2
660.58,52713.8
661.03,53095
661.48,52642.8
661.93,52519.6
662.38,52677.2
662.83,52701.2
663.28,52867.4
663.73,52923.8
664.18,52752.4
664.63,53020.2
665.08,53173.6
665.53,53050.6
665.98,52772.6
666.43,53051.2
666.88,52894
667.33,53356.6
667.77,53342.4
668.22,53167.8
668.67,53415.2
669.12,53367.4
669.56,53495.2
670.01,53242.8
670.46,53019
670.91,53018.8
671.35,53334.6
671.8,53372.8
672.25,53328.4
672.69,53167.6
673.14,53410
673.58,53729
674.03,53454.6
674.47,52913.4
674.92,52560.8
675.36,52742.6
675.81,53017.4
676.25,52700.4
676.7,53175.4
677.14,53349.2
677.58,53377.2
678.03,53230
678.47,53391.2
678.91,52902.6
679.36,52857.4
679.8,52939.2
680.24,52617
680.68,52575.4
681.12,52743.2
681.57,52335.6
682.01,52014.6
682.45,51823.4
682.89,51661
683.33,51571.8
683.77,51618.8
684.21,51616.4
684.65,51143
685.09,51208.4
685.53,51724
685.97,51538
686.41,51286.8
686.85,51107.8
687.29,51035.6
687.73,50547.8
688.17,50502.2
688.61,50222
689.04,50417.6
689.48,50679.2
689.92,50544.6
690.36,50719.2
690.8,50364.2
691.23,49739
691.67,49505.6
