length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
409.84,107.8,144.2,97.6,128.8,90.6,93,115.2,36.8,50,-7.8
410.39,102,102.2,137.2,111,102.2,82.2,125,31.2,29.8,2.2
410.95,129.6,150.6,113.2,143,121.8,115,60.2,67.2,-14.6,-6
411.5,157.6,103.8,125.6,154.2,103,109.8,94.6,75,44.4,3.6
412.06,136.2,119.8,114,139.2,124.4,50,101,63.4,5,14.8
412.61,132.4,76.2,135,104,142,98.4,60.8,54.4,18.2,-6.2
413.16,143.2,154.8,133.8,158.4,114,105.2,105.4,76.8,52,-7
413.72,136.6,131.6,95.4,123.4,123.6,137.4,64,38.2,43,-26.8
414.27,140.4,138,130.8,111.2,120.8,89.2,84,81.8,1.6,10
414.82,162.8,135,123.6,109.8,107.6,84.2,51,74.6,42.6,-31.8
415.38,162,160.4,132.4,122.8,107.2,76.4,79.2,64.4,34.4,3.8
415.93,115.4,160.6,135,97,94.6,78.8,85,93.6,17.4,-17.4
416.48,137.6,134.2,141.4,161.4,125,76.2,84.8,58.2,23.8,7
417.04,136.2,114.2,148.2,128.8,87.6,125.6,105.8,24.6,49.4,-9.2
417.59,166,100.6,169,129.4,110.6,114,83.2,95.4,23.4,10
418.14,140.4,137.6,150.4,119,84,109.4,97.4,76.8,51,29.6
418.69,118.4,120.2,168.4,139.8,111.8,89.4,90.4,48.8,29.8,12.8
419.24,168.6,149,159.6,105.2,118.2,89.2,120.8,73.8,37,28
419.79,121.8,119.2,150.8,106,119.2,87.2,85.4,101,13.8,-15.8
420.35,151.4,162.6,123.4,94.4,99,75.4,73.2,75.2,17.4,-22.2
420.9,130.2,162.2,171.2,137.2,91.8,77.2,58.2,83,52.6,-8.8
421.45,126.6,135.4,134.8,124.2,106.2,92.4,87.6,73.2,20.8,-8.2
422,144.2,148.4,151.2,139.4,118,107,104.4,69.6,15.8,-5.2
422.55,190,167.8,145.8,151.6,109.4,114.8,84,76.6,0.6,-14.8
423.1,186.4,151,146.4,126.8,135.4,91.6,77.2,54.2,20.8,-33.4
423.65,150.8,178,137.4,141.4,150,127.6,110.4,91.6,8.6,-13.8
424.2,135.4,182.6,129.8,126.6,117.8,107.6,84.4,56.2,23,-16.2
424.75,175.4,169,132.4,147.4,117.6,119,90.8,50.6,11.6,-21.8
425.3,155.8,166.4,130.4,121.2,97.2,99.2,81,70.8,24,22.8
425.85,153.4,156.4,151.2,145.4,123.8,77.8,113,59.8,35.2,-13.6
426.4,205,144.6,137,135,129.2,113.2,115.2,42.8,7.4,-10
426.95,168.8,181.6,178.2,161.6,113.2,127,76.4,73.8,36.8,16
427.49,186.8,161,148.4,161.6,154.4,100,93.6,73.4,58.6,-4.2
428.04,206,184,190,153.4,120.2,139.6,102.4,59.6,42.6,3.4
428.59,225.6,149.4,177.6,164.4,163.2,122.8,83.4,81.2,30.6,24.2
429.14,197,170.4,149.4,167.6,169.4,133.2,103.8,76,6.8,51.6
429.69,224.4,203.8,201.4,135.2,134.8,122.8,144.4,96.8,36.6,-18.2
430.23,190.4,184.6,138,154,165.6,123,132.2,96.8,42.4,-12
430.78,208.2,235.6,197,168,163.4,127.6,125.2,65.2,30.2,8
431.33,179.4,153.2,169.4,179.4,149.4,118.8,115.2,77.6,-6.2,0.8
431.87,207.6,173.8,169.4,150,122.4,132,91.8,95.4,28.6,12.6
432.42,168.8,172.2,201.6,174.6,188.4,142.8,100.4,60.4,53.2,4.4
432.97,201,193.4,184.8,157.8,139.4,142.6,118.6,116.4,37.2,-20.6
433.51,183,199.8,153.8,164.8,162,153.4,133,125,23.6,-11.4
434.06,192.8,191.2,169.6,149.4,141.8,126.8,131.4,88.6,14.4,7.4
434.61,191.6,198.6,176,177.8,162.8,134,112.4,97.6,18.2,-3.6
435.15,185,193.4,243,189.6,191.2,151,129.8,106.2,25.6,14.6
435.7,223.4,204.8,161.6,183.4,175.6,151.2,140.4,92.8,18,12.4
436.24,168,182.2,186,196,165,143.8,126,107.4,62.4,-14.4
436.79,229.4,200.8,193.4,173.4,165.6,116,138.4,105,78.2,23.8
437.33,214.6,190.6,184.4,204.6,164,179.2,116.6,104.6,28.8,11.2
437.88,229.6,226,197.6,186,172,170.2,143.4,116.2,25.6,6.2
438.42,192,193.4,205.4,208.8,166.2,168.6,100.4,105.4,28.6,10.8
438.97,242.2,186.2,190.8,202,130.2,169,137.8,94,50.8,-13.2
439.51,246.4,191.8,194,184,175,102.2,141,109.2,67.6,1.8
440.05,246.8,175.6,178.6,173.8,164.6,116,75,103.4,12,19.8
440.6,234.8,204.2,167,225.2,177.4,185.8,114.6,89.8,43.8,20
441.14,239.2,223,248.2,250.8,209,140,137.8,78.8,39,-6.2
441.68,255.6,263.8,210.6,233.6,192.2,166.2,100.4,115,79,31.2
442.23,250.4,252,254.2,228.2,185.2,140.8,123,104.8,52.6,28.4
442.77,240.6,230.8,201.4,188.6,243.4,175.8,148.4,69.4,66.4,16
443.31,255.6,226,229.6,190.4,206.4,175.6,122.2,89,62,-13.8
443.86,253.8,255.4,273.8,188.6,195.6,152.2,184.4,111.2,36,-10.4
444.4,255.8,258,262.4,220.6,227.8,167,139.4,85.6,41,-6.6
444.94,249.4,272.8,232,251.6,206.4,161.4,137.6,102.8,94.8,33.6
445.48,246.6,212.6,248.2,241,214.8,188.6,110.4,96.6,52.6,4.8
446.02,226.8,268,235.4,238.8,229.2,188.6,124,96.8,31.2,3.6
446.56,241.6,278.8,248,229.8,206.2,158.2,200.4,133.6,16.8,-12.8
447.11,223.6,295.6,266.4,259.8,211,166.6,175.4,88.8,31.4,3.8
447.65,300.2,247.8,243.2,207.4,255.6,173.2,185.4,146,70.2,38.6
448.19,268.8,285.2,203.4,235.6,215.8,170.6,172.2,120,54.8,10.8
448.73,258.6,275.2,253,227.6,242.4,181.8,158.8,144.2,62.2,26.2
449.27,257.8,274,291.2,251.8,222.6,166.6,167,135,42.6,31.8
449.81,278,282.8,273.6,224.8,189,250.4,153,96,62.4,-7
450.35,263.8,277.4,249.4,246.8,209.2,234.2,161.6,100.2,46.6,-26.2
450.89,293.4,280.4,253.4,248,241.2,204.6,166.4,131.4,82.2,6
451.43,317,286.8,313.4,279.6,269.6,199,157.4,114.8,17.4,-7.4
451.97,312.8,301.2,349.8,250.8,245.2,230.8,166.8,127.6,35.2,4.4
452.51,354.8,341.6,289,260.8,288.6,214.6,170.2,105.6,68.2,-17.2
453.04,306.2,312,296.2,252,244.2,192.6,151,135.4,70.6,36
453.58,314.2,316.4,277.4,230.4,225.6,234.8,198,160.8,50.8,15
454.12,307.2,330.8,297.6,258.8,243.2,216.8,202.6,142.2,45.2,23.4
454.66,352.6,321.2,315,302.6,226,221,234.8,147.6,74.2,-0.6
455.2,327.8,357.2,335.4,319.6,245.6,233.2,222.4,169.4,69.2,21.2
455.74,331.8,302,346.2,310.4,254,209.2,189.2,161,58.2,25
456.27,345.4,358.2,326.8,305.6,268.2,264.8,195.4,148.8,67.8,-6
456.81,356,359.4,321.6,313.8,264.4,240.2,201.4,153.8,53.8,10.2
457.35,350.6,347.8,318.6,302.8,273.8,263.6,182,193,53.4,15.6
457.89,330,369.4,331.8,346,310,241.2,221.4,184.2,86,-16.6
458.42,365.2,375.4,330.2,339.6,352.6,259.6,201.4,164.4,51,-2.8
458.96,392.4,402.2,347,310.8,304.2,254.6,194.8,149.6,50.4,37
459.5,396.6,352.6,350.4,331,294.4,290.2,233.8,154.8,61,-31.4
460.03,400.8,403.6,356.2,348.4,330.6,259,263.4,183.8,89.8,-38
460.57,376,396.2,375.2,321.8,343.6,281.4,241.6,134.2,70,-9.4
461.1,394.4,382,405.8,344.6,337.4,287,224.6,177.4,93.2,-23.2
461.64,389.2,351.2,396.4,332.8,349.6,292.8,211.4,181,53.2,24
462.17,395,410,348.4,342.4,327.8,277.4,218.4,186.2,87,-11.2
462.71,434.4,406.2,328.2,331,325.6,265.4,231.6,195.6,96,-25.6
463.24,408.4,430.4,402.6,358,349.8,303.4,258.6,169,80.2,-33.4
463.78,424.4,418.6,362.2,333,361.6,348.6,257.4,155.6,105,-26.2
464.31,394,404.6,433.4,367.6,346.2,299.2,255.2,190.6,54.2,-1
464.85,469.2,428,458.6,361.8,378.2,289.8,245.8,188.8,72,-10.8
465.38,484,491.8,396.6,400.6,385,308.4,245,202.6,78,37.2
465.92,494.6,470.6,427.8,417,361.4,303,247.6,183.2,92.8,-10.8
466.45,477.4,443.2,434.2,408.4,359.2,313.2,259.4,186.8,86.8,-14.6
466.98,457.2,449.8,431.6,400.6,380.6,335.6,248.8,177.6,55,0
467.52,475.6,483.6,453,391.4,378,343.4,243.8,192.2,82,-7.8
468.05,517.8,464,449.4,439,412.4,344.6,303.8,218.8,37.4,8
468.58,491.4,490.2,454,407.6,377.4,358.4,261.6,209,94.8,-21.6
469.12,510.8,475.4,479.6,418.4,429.6,396.4,269.8,228.6,88,2.4
469.65,522,487.6,504.2,444.8,435.6,381.6,286.2,226.4,96.6,2.8
470.18,534.6,536.2,515,486.4,414,368.8,263.6,260.8,59.6,-15
470.71,547.2,532.8,505.2,496.8,440.8,334.6,269.2,170.8,88.6,-13.6
