wave leght [nm]\ AOI [dig],0,5,10,15,20,25,30,35,40,45,50,55,60,65
400.37,19.2,-26.8,28,8.8,20.2,-26.6,-26.2,5.8,-6.8,-6,-12,-8.6,-0.6,-18.8
400.93,-24.8,-26.8,22.6,-42,-16,-5.6,-30.8,-12.2,22,13.6,16.6,-8.4,3,7.8
401.49,10.6,-18.8,-5.8,-37.6,-28.8,5.6,39.8,-46,-13,-19.8,-7.4,12.8,6,-20
402.05,5.8,11.8,3.4,20,-4.2,9.8,22.2,-27.2,-8.2,10.6,19.6,1.4,28.8,-2.2
402.6,-9,15,-11,20.6,-5.2,-24.6,20.8,3.4,-14.6,6.4,2.8,-5.2,19.6,22.8
403.16,-44.6,14.4,-7.2,7.8,-24.4,-33.6,11.4,4.4,30.8,17.4,-5.4,17,23.2,13.8
403.72,71,11.2,-3.4,-13.4,-8.2,18.6,0.6,-6.2,23.4,19.2,28.6,-45.4,27.4,-44.8
404.28,-20.2,27.6,-19,-19.4,-17.6,-21,24.4,-2.2,-26.6,17,-6.4,0.6,18.2,-28.4
404.83,27.2,10.4,29.6,28.6,32.8,-53.4,-26,-21.4,-15.6,-41.8,10.6,-7.6,-0.2,-17.4
405.39,3.8,27,-9.6,-8.2,13.8,-24.4,-10.4,-2.2,51.2,-1.4,-6.4,-20.8,-3.8,7.4
405.95,7.8,9,15.2,-10.4,25.2,-15.8,16,-19.2,-9.6,19.2,-34.2,-39.8,6.8,1.2
406.5,-2.2,-23.4,28.2,-27.4,17.8,-9.2,2.2,6.2,-35.4,14,-12.4,21.2,-36.4,8.6
407.06,-18,4.4,-14.8,-27.6,-12.4,-16.8,-13.2,24.8,-16.2,-8.6,-4.8,-24.4,-8.2,14.4
407.61,1.2,39.8,6.8,15.2,1,8.6,-17,-27.6,-42.8,-6.2,-50.6,-2.8,5.6,1.4
408.17,-6.2,12,-24.2,-24,-36.6,-6.8,5.8,0,-13.6,-19.2,-15.2,5.2,8.6,-11.6
408.73,6.2,-3,6.2,17.6,18,-24.4,-3,-6.2,-18.4,33.4,-22.2,-21.8,26.4,8.8
409.28,11,-10.8,1,-14,-30.2,12.6,-32,-32.8,0.4,19,-28.8,-12.4,-12,-9.8
409.84,-3.6,-6.2,10.4,-25.4,-13.4,13.2,-32.6,15.2,2,18.4,0.2,-33.8,-1.2,-19.2
410.39,2,-4.6,33.8,7.2,35.8,2.6,32.4,-1,25,-40.4,-15,-14.6,-25.2,-22.6
410.95,-18,-1.4,5,9.2,30.6,3,-14.6,20.6,3,7,37.6,-17,19.6,-37.6
411.5,7.6,-1.4,-12.2,-7.6,6.8,3,0,45.4,2.6,13.4,31.6,-24.2,19.6,-12
412.06,-15.4,12,-1.8,-24.6,9.6,11.2,15.6,18.6,71.2,4.2,14,1,-17.6,24.4
412.61,-30.8,-1.8,-7.8,-11.8,0.4,5.2,-19.4,-38.4,-21,-4,-1.6,1,-41.6,6.8
413.16,-9.6,2.4,-8.8,-3,-3.4,3.8,-4.2,16,-11.6,-24.6,-10.2,8.6,3.4,3.8
413.72,11.8,-22.6,-25,-15,7.2,-37,7,17.2,5,-33.6,-14.2,30.8,22,18.6
414.27,28,12.2,0.6,10,13.6,5.4,7.6,30.4,-11,26.6,-18,9.2,15.8,-18.4
414.82,-12.8,16.8,7,14.2,52.6,-27.4,17.2,-30.4,-2.8,-7,-21.8,1,6.6,-24.6
415.38,1.2,16.8,-4.4,1.6,1,12.6,-7.8,-41.8,8,31.6,-13.8,-14,-30.4,-43.8
415.93,-17.8,7.8,1.6,30.2,10.6,-16.6,-11.6,-2.6,14.8,0.4,-8.2,16.4,-4.2,-27.8
416.48,-4.2,-56,30,1.4,-10.8,10.8,-19.8,5.6,2.2,9,-11.2,-28,-13.2,-21.6
417.04,-15,-4,18.8,-1.8,-12.8,5.8,-0.4,-17.2,-29,-0.2,13.4,-8,-26.6,-12
417.59,7.2,-27.6,-20.2,-21.2,15,1.8,-22.2,-16.4,2.4,-13,0,-5.6,-10.8,17
418.14,4.2,27.6,-1.4,-2.8,8.8,-16.6,0.6,14,-38.6,2.8,-25.2,-22.4,-14,-14.8
418.69,7.2,36,-14,-21.6,31.4,29.8,10.6,-4.4,16.4,2.6,13,-12.6,-10,-28.8
419.24,-5.4,13.2,-7.4,21.2,51.6,-8,-5.6,-9.8,16.8,-36.6,-11.6,-8.4,11.8,-12.2
419.79,-15.8,0.4,6.8,18.8,-8,-3.6,-9.6,-16.6,21.6,-12,7.6,26.2,37.2,-37.8
420.35,-11,2,-14,-5.8,4.8,7.6,-1.4,-26.2,38.8,0.4,18.2,24.6,-12.6,3.4
420.9,18.4,8,-20.6,-12.8,0,14.2,13,-5.2,35.2,-44.6,2.2,-3.2,21,-15.6
421.45,-18.6,8.4,-6,-21.6,12,45.6,-1.6,-35.6,-12,14.6,-11.2,1.6,36,2.8
422,-12,15,-22.6,6.4,26.2,2.8,3.4,15.2,29,13.4,-11.6,-12.2,27.4,-9.2
422.55,-2.4,34,-15.8,14.4,-38.2,0,-3.4,4.2,22,-1,-9.2,-13.2,7.6,-26
423.1,-19.8,10.4,-6.2,-12,-13.4,34.8,24,-1.4,-19.8,24.8,-31,-2.4,26.2,10.8
423.65,24.2,-24.2,12.2,28.2,27.8,5.6,-21.4,-20.2,-7,-2,-17.6,31.2,-27.2,26.4
424.2,9.8,36,-8.4,-13.2,7.2,-27.2,-14.4,-33.8,8.8,-58,10.6,-18.6,0.8,1.8
424.75,36.6,5.4,13.6,-25.4,10.8,-15.8,-15,10.6,34.4,-18,-14,-17.2,-5,15.2
425.3,28.6,-5.4,-3.4,2.2,16.2,-39,2.6,-8.4,-12.8,6.8,-32.4,-0.4,18.8,25.8
425.85,6.4,-25,10.4,-1.4,19.2,-9.6,10.8,0.4,0.4,-13.6,-32.4,13.2,-14.6,4.6
426.4,3.2,-17.6,15.8,-29,2.2,11.4,15.4,14,-34.8,-8.2,6,25.6,24.6,-22.2
426.95,-1.4,-8.2,-1.4,19.8,21.2,18.4,8,3.6,-5.4,42.6,-23.6,13.6,-15,-0.4
427.49,19.8,-7.6,8.2,5.6,11.6,-9.8,-0.6,-20.2,3,5.4,-30.6,23.8,11,6.6
428.04,8.2,19.2,-9.2,5.8,6.8,28,15.2,-15.6,-24.4,-25.2,-42.4,22.8,-6,-29.6
428.59,-6.4,4.4,-13.4,-16.4,-18,-28.8,36.2,-17,11.2,-12.6,-34,-38,12,-14.4
429.14,5.4,-26.4,18.6,-3.8,25.8,-5.6,23.6,-16,-10.4,-7.4,25.4,-10.2,-30.4,-0.2
429.69,20.8,-5.8,-15,2,0.8,26.4,-24,2.8,13.8,-20.4,14.8,9.6,23.4,-4.6
430.23,17.8,6.2,24.6,-19.2,26.6,-7.8,18.4,-22.2,10.6,16.6,-5.4,15.2,8.8,21.6
430.78,-18,14.2,-33.8,-15.8,22,1.2,23.2,9.4,17.8,-3,10.4,-29.2,7,-7
431.33,-35.6,21.2,-16,5.2,43.8,-1.8,-10.2,10.6,20.6,-25,0,13.4,-29.6,28.2
431.87,17,-15,8.4,-4.2,-10.4,1.4,-11.8,41.6,50.6,-38.8,12.6,32.2,24.4,-7.8
432.42,-12.6,-10.6,31,-8.2,19.8,-4.6,-2.2,-25.6,22,11.6,-20,46.4,24.2,-7.8
432.97,24,-2.8,-18.4,9.2,-14.8,-2.4,22.8,-16,-14.2,-3.6,14.8,-3.8,6,7.2
433.51,3,-21,4.2,9.4,-19.6,11.2,14.6,4.6,-34,-1.2,18.4,-7.6,-29.4,7.4
